[16:40:24] Using gulpfile C:\Code\GLS\gulpfile.js
[16:40:24] Starting 'tslint'...
[16:40:30] [gulp-tslint] error (one-variable-per-declaration) gls/commands/FileEndCommand.ts[34, 9]: Multiple variable declarations in the same statement are forbidden
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/FileStartCommand.ts[1, 10]: unused variable: 'Language'
[16:40:30] [gulp-tslint] error (one-variable-per-declaration) gls/commands/FileStartCommand.ts[33, 9]: Multiple variable declarations in the same statement are forbidden
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/ForEachKeyStartCommand.ts[1, 10]: unused variable: 'Language'
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/ForEachKeyStartCommand.ts[7, 10]: unused variable: 'RepeatingParameters'
[16:40:30] [gulp-tslint] error (one-variable-per-declaration) gls/commands/ForEachKeyStartCommand.ts[67, 9]: Multiple variable declarations in the same statement are forbidden
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/ForEachPairStartCommand.ts[1, 10]: unused variable: 'Language'
[16:40:30] [gulp-tslint] error (one-variable-per-declaration) gls/commands/ForEachPairStartCommand.ts[71, 9]: Multiple variable declarations in the same statement are forbidden
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/ForNumbersStartCommand.ts[1, 10]: unused variable: 'Language'
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/ForNumbersStartCommand.ts[7, 10]: unused variable: 'RepeatingParameters'
[16:40:30] [gulp-tslint] error (one-variable-per-declaration) gls/commands/FunctionStartCommand.ts[39, 9]: Multiple variable declarations in the same statement are forbidden
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/IfStartCommand.ts[1, 10]: unused variable: 'Language'
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/IfStartCommand.ts[7, 10]: unused variable: 'RepeatingParameters'
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/ImportCommand.ts[1, 10]: unused variable: 'CaseStyle'
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/ImportCommand.ts[2, 10]: unused variable: 'Language'
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/IndexCommand.ts[1, 10]: unused variable: 'Language'
[16:40:30] [gulp-tslint] error (no-unused-variable) gls/commands/IndexCommand.ts[6, 10]: unused variable: 'RepeatingParameters'
[16:40:31] [gulp-tslint] error (no-unused-variable) gls/commands/LambdaBodyCommand.ts[1, 10]: unused variable: 'Language'
[16:40:31] [gulp-tslint] error (no-unused-variable) gls/commands/LambdaBodyCommand.ts[57, 13]: unused variable: 'returnType'
[16:40:31] [gulp-tslint] error (one-variable-per-declaration) gls/commands/LambdaBodyCommand.ts[57, 9]: Multiple variable declarations in the same statement are forbidden
[16:40:31] [gulp-tslint] error (no-unused-variable) gls/commands/ListInitializeCommand.ts[1, 10]: unused variable: 'Language'
[16:40:31] [gulp-tslint] error (one-variable-per-declaration) gls/commands/ListInitializeCommand.ts[44, 9]: Multiple variable declarations in the same statement are forbidden
[16:40:31] [gulp-tslint] error (no-unused-variable) gls/commands/ListTypeCommand.ts[1, 10]: unused variable: 'Language'
[16:40:31] [gulp-tslint] error (no-unused-variable) gls/commands/MainEndCommand.ts[1, 10]: unused variable: 'Language'
[16:40:31] [gulp-tslint] error (one-variable-per-declaration) gls/commands/MainEndCommand.ts[17, 9]: Multiple variable declarations in the same statement are forbidden
[16:40:31] [gulp-tslint] error (no-unused-variable) gls/commands/MainStartCommand.ts[1, 10]: unused variable: 'Language'
[16:40:31] [gulp-tslint] error (one-variable-per-declaration) gls/commands/MainStartCommand.ts[17, 9]: Multiple variable declarations in the same statement are forbidden
[16:40:31] [gulp-tslint] error (no-unused-variable) gls/commands/MemberVariableCommand.ts[2, 10]: unused variable: 'Language'
[16:40:31] [gulp-tslint] error (no-unused-variable) gls/commands/MemberVariableCommand.ts[7, 10]: unused variable: 'RepeatingParameters'
[16:40:31] [gulp-tslint] error (one-variable-per-declaration) gls/commands/MemberVariableCommand.ts[38, 9]: Multiple variable declarations in the same statement are forbidden
[16:40:31] [gulp-tslint] error (no-unused-variable) gls/commands/MemberVariableDeclareCommand.ts[2, 10]: unused variable: 'Language'
[16:40:31] [gulp-tslint] error (no-unused-variable) gls/commands/MemberVariableDeclareCommand.ts[7, 10]: unused variable: 'RepeatingParameters'
[16:40:31] [gulp-tslint] error (one-variable-per-declaration) gls/commands/MemberVariableDeclareCommand.ts[42, 9]: Multiple variable declarations in the same statement are forbidden
[16:40:31] [gulp-tslint] error (no-unused-variable) gls/commands/NativeCallCommand.ts[2, 10]: unused variable: 'Language'
[16:40:31] [gulp-tslint] error (no-unused-variable) gls/commands/NotCommand.ts[1, 10]: unused variable: 'Language'
[16:40:31] [gulp-tslint] error (no-unused-variable) gls/commands/OperationCommand.ts[1, 10]: unused variable: 'Language'
[16:40:31] [gulp-tslint] error (no-unused-variable) gls/commands/OperatorCommand.ts[1, 10]: unused variable: 'Language'
[16:40:31] [gulp-tslint] error (no-unused-variable) gls/commands/ParenthesisCommand.ts[1, 10]: unused variable: 'Language'
[16:40:31] [gulp-tslint] error (no-unused-variable) gls/commands/PrintCommand.ts[1, 10]: unused variable: 'Language'
[16:40:31] [gulp-tslint] error (no-unused-variable) gls/commands/ReturnCommand.ts[1, 10]: unused variable: 'Language'
[16:40:31] [gulp-tslint] error (no-unused-variable) gls/commands/SuperConstructorCommand.ts[1, 10]: unused variable: 'Language'
[16:40:31] [gulp-tslint] error (no-unused-variable) gls/commands/ThisCommand.ts[1, 10]: unused variable: 'Language'
[16:40:31] [gulp-tslint] error (no-unused-variable) gls/commands/TypeCommand.ts[1, 10]: unused variable: 'Language'
[16:40:31] [gulp-tslint] error (no-unused-variable) gls/commands/TypeCommand.ts[6, 10]: unused variable: 'RepeatingParameters'
[16:40:31] [gulp-tslint] error (one-variable-per-declaration) gls/commands/TypeCommand.ts[67, 9]: Multiple variable declarations in the same statement are forbidden
[16:40:31] [gulp-tslint] error (one-variable-per-declaration) gls/commands/TypeCommand.ts[81, 9]: Multiple variable declarations in the same statement are forbidden
[16:40:31] [gulp-tslint] error (one-variable-per-declaration) gls/commands/TypeCommand.ts[88, 9]: Multiple variable declarations in the same statement are forbidden
[16:40:32] [gulp-tslint] error (no-unused-variable) gls/commands/ValueCommand.ts[1, 10]: unused variable: 'Language'
[16:40:32] [gulp-tslint] error (no-unused-variable) gls/commands/ValueCommand.ts[6, 10]: unused variable: 'RepeatingParameters'
[16:40:32] [gulp-tslint] error (no-unused-variable) gls/commands/VariableCommand.ts[1, 10]: unused variable: 'Language'
[16:40:32] [gulp-tslint] error (no-unused-variable) gls/commands/VariableCommand.ts[6, 10]: unused variable: 'RepeatingParameters'
[16:40:32] [gulp-tslint] error (no-unused-variable) gls/commands/VariableInlineCommand.ts[1, 10]: unused variable: 'Language'
[16:40:32] [gulp-tslint] error (no-unused-variable) gls/commands/VariableInlineCommand.ts[6, 10]: unused variable: 'RepeatingParameters'
[16:40:32] [gulp-tslint] error (no-unused-variable) gls/commands/VariableStartCommand.ts[1, 10]: unused variable: 'Language'
[16:40:32] [gulp-tslint] error (no-unused-variable) gls/commands/VariableStartCommand.ts[7, 10]: unused variable: 'RepeatingParameters'
[16:40:32] [gulp-tslint] error (no-unused-variable) gls/commands/WhileStartCommand.ts[1, 10]: unused variable: 'Language'
[16:40:32] [gulp-tslint] error (no-unused-variable) gls/commands/WhileStartCommand.ts[7, 10]: unused variable: 'RepeatingParameters'
[16:40:32] [gulp-tslint] error (no-unused-variable) gls/languages/casing/CaseStyleConverter.ts[1, 10]: unused variable: 'CaseStyle'
[16:40:32] [gulp-tslint] error (no-trailing-whitespace) gls/languages/casing/CaseStyleConverterBag.ts[50, 1]: trailing whitespace
[16:40:32] [gulp-tslint] error (member-access) gls/languages/properties/ClassGenericProperties.ts[8, 5]: default access modifier on member/method not allowed
[16:40:32] [gulp-tslint] error (member-access) gls/languages/properties/ClassGenericProperties.ts[13, 5]: default access modifier on member/method not allowed
[16:40:32] [gulp-tslint] error (member-access) gls/languages/properties/ClassGenericProperties.ts[18, 5]: default access modifier on member/method not allowed
[16:40:32] [gulp-tslint] error (member-access) gls/languages/properties/ClassGenericProperties.ts[23, 5]: default access modifier on member/method not allowed
[16:40:32] [gulp-tslint] error (member-access) gls/languages/properties/ClassMemberVariableProperties.ts[10, 5]: default access modifier on member/method not allowed
[16:40:32] [gulp-tslint] error (member-access) gls/languages/properties/ClassMemberVariableProperties.ts[15, 5]: default access modifier on member/method not allowed
[16:40:32] [gulp-tslint] error (member-access) gls/languages/properties/ClassMemberVariableProperties.ts[20, 5]: default access modifier on member/method not allowed
[16:40:32] [gulp-tslint] error (member-access) gls/languages/properties/ClassMemberVariableProperties.ts[25, 5]: default access modifier on member/method not allowed
[16:40:32] [gulp-tslint] error (member-access) gls/languages/properties/ClassMemberVariableProperties.ts[30, 5]: default access modifier on member/method not allowed
[16:40:32] [gulp-tslint] error (member-access) gls/languages/properties/ClassMemberVariableProperties.ts[35, 5]: default access modifier on member/method not allowed
[16:40:32] [gulp-tslint] error (member-access) gls/languages/properties/ClassMemberVariableProperties.ts[40, 5]: default access modifier on member/method not allowed
[16:40:32] [gulp-tslint] error (member-access) gls/languages/properties/ClassMemberVariableProperties.ts[45, 5]: default access modifier on member/method not allowed
[16:40:32] [gulp-tslint] error (member-access) gls/languages/properties/ClassMemberVariableProperties.ts[50, 5]: default access modifier on member/method not allowed
[16:40:32] [gulp-tslint] error (member-access) gls/languages/properties/ClassMemberVariableProperties.ts[55, 5]: default access modifier on member/method not allowed
[16:40:32] [gulp-tslint] error (no-unused-variable) gls/languages/properties/ClassProperties.ts[1, 10]: unused variable: 'ArrayProperties'
[16:40:32] [gulp-tslint] error (no-unused-variable) gls/languages/properties/ClassProperties.ts[4, 10]: unused variable: 'ListProperties'
[16:40:32] [gulp-tslint] error (no-unused-variable) gls/languages/properties/ClassProperties.ts[5, 10]: unused variable: 'StringProperties'
[16:40:32] [gulp-tslint] error (no-trailing-whitespace) gls/languages/properties/ClassProperties.ts[20, 1]: trailing whitespace
[16:40:32] [gulp-tslint] error (no-trailing-whitespace) gls/languages/properties/CommentProperties.ts[9, 1]: trailing whitespace
[16:40:32] [gulp-tslint] error (no-trailing-whitespace) gls/languages/properties/CommentProperties.ts[14, 1]: trailing whitespace
[16:40:32] [gulp-tslint] error (no-trailing-whitespace) gls/languages/properties/CommentProperties.ts[19, 1]: trailing whitespace
[16:40:32] [gulp-tslint] error (no-trailing-whitespace) gls/languages/properties/CommentProperties.ts[24, 1]: trailing whitespace
[16:40:32] [gulp-tslint] error (no-trailing-whitespace) gls/languages/properties/CommentProperties.ts[29, 1]: trailing whitespace
[16:40:32] [gulp-tslint] error (no-trailing-whitespace) gls/languages/properties/CommentProperties.ts[34, 1]: trailing whitespace
[16:40:32] [gulp-tslint] error (no-trailing-whitespace) gls/languages/properties/CommentProperties.ts[44, 1]: trailing whitespace
[16:40:32] [gulp-tslint] error (no-trailing-whitespace) gls/languages/properties/CommentProperties.ts[59, 1]: trailing whitespace
[16:40:32] [gulp-tslint] error (no-trailing-whitespace) gls/languages/properties/DictionaryProperties.ts[11, 1]: trailing whitespace
[16:40:32] [gulp-tslint] error (member-access) gls/languages/properties/FunctionProperties.ts[8, 5]: default access modifier on member/method not allowed
[16:40:32] [gulp-tslint] error (member-access) gls/languages/properties/FunctionProperties.ts[13, 5]: default access modifier on member/method not allowed
[16:40:32] [gulp-tslint] error (member-access) gls/languages/properties/FunctionProperties.ts[18, 5]: default access modifier on member/method not allowed
[16:40:32] [gulp-tslint] error (member-access) gls/languages/properties/FunctionProperties.ts[23, 5]: default access modifier on member/method not allowed
[16:40:32] [gulp-tslint] error (member-access) gls/languages/properties/FunctionProperties.ts[28, 5]: default access modifier on member/method not allowed
[16:40:32] [gulp-tslint] error (member-access) gls/languages/properties/FunctionProperties.ts[33, 5]: default access modifier on member/method not allowed
[16:40:32] [gulp-tslint] error (member-access) gls/languages/properties/LambdaProperties.ts[8, 5]: default access modifier on member/method not allowed
[16:40:32] [gulp-tslint] error (member-access) gls/languages/properties/LambdaProperties.ts[13, 5]: default access modifier on member/method not allowed
[16:40:32] [gulp-tslint] error (member-access) gls/languages/properties/LambdaProperties.ts[18, 5]: default access modifier on member/method not allowed
[16:40:32] [gulp-tslint] error (member-access) gls/languages/properties/LambdaProperties.ts[23, 5]: default access modifier on member/method not allowed
[16:40:32] [gulp-tslint] error (member-access) gls/languages/properties/LambdaProperties.ts[28, 5]: default access modifier on member/method not allowed
[16:40:32] [gulp-tslint] error (no-trailing-whitespace) gls/languages/properties/LambdaProperties.ts[24, 1]: trailing whitespace
[16:40:32] [gulp-tslint] error (no-trailing-whitespace) gls/languages/properties/NativeCallProperties.ts[64, 1]: trailing whitespace
[16:40:32] [gulp-tslint] error (no-trailing-whitespace) gls/languages/properties/VariableProperties.ts[9, 1]: trailing whitespace
[16:40:32] [gulp-tslint] error (no-unused-variable) gls/commands/parameters/RepeatingParameters.ts[2, 10]: unused variable: 'SingleParameter'
[16:40:32] [gulp-tslint] error (no-trailing-whitespace) gls/commands/parameters/Restrictions.ts[48, 1]: trailing whitespace
[16:40:32] [gulp-tslint] error (no-trailing-whitespace) gls/commands/parameters/Restrictions.ts[81, 1]: trailing whitespace
[16:40:32] [gulp-tslint] error (no-trailing-whitespace) gls/commands/parameters/Restrictions.ts[97, 1]: trailing whitespace
[16:40:32] [gulp-tslint] error (variable-name) gls/commands/parameters/Restrictions.ts[102, 29]: variable name clashes with keyword/type
[16:40:32] 'tslint' errored after 8.06 s
[16:40:32] Error in plugin 'gulp-tslint'
Message:
